epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/loss,val/mAP
6,,2219,,1.074525356,,
,5.00E-05,2229,,,,
6,,2229,,1.263558865,,
,5.00E-05,2239,,,,
6,,2239,,0.852809787,,
,5.00E-05,2249,,,,
6,,2249,,1.19173646,,
,5.00E-05,2259,,,,
6,,2259,,1.000686646,,
,5.00E-05,2269,,,,
6,,2269,,1.015347242,,
,5.00E-05,2279,,,,
6,,2279,,1.13157022,,
,5.00E-05,2289,,,,
6,,2289,,0.659778118,,
,5.00E-05,2299,,,,
6,,2299,,0.878638446,,
,5.00E-05,2309,,,,
6,,2309,,1.09193337,,
,5.00E-05,2319,,,,
6,,2319,,1.014591694,,
,5.00E-05,2329,,,,
6,,2329,,1.013468385,,
,5.00E-05,2339,,,,
6,,2339,,1.228718519,,
,5.00E-05,2349,,,,
6,,2349,,1.138490438,,
,5.00E-05,2359,,,,
6,,2359,,0.782218218,,
,5.00E-05,2369,,,,
6,,2369,,1.266919494,,
,5.00E-05,2379,,,,
6,,2379,,1.012633681,,
,5.00E-05,2389,,,,
6,,2389,,0.931165397,,
,5.00E-05,2399,,,,
6,,2399,,0.845912635,,
,5.00E-05,2409,,,,
6,,2409,,1.033968449,,
,5.00E-05,2419,,,,
6,,2419,,1.111397028,,
,5.00E-05,2429,,,,
6,,2429,,0.88208437,,
,5.00E-05,2439,,,,
6,,2439,,1.188198566,,
,5.00E-05,2449,,,,
6,,2449,,1.136470914,,
,5.00E-05,2459,,,,
6,,2459,,0.863650322,,
,5.00E-05,2469,,,,
6,,2469,,1.022789955,,
,5.00E-05,2479,,,,
6,,2479,,1.032821178,,
,5.00E-05,2489,,,,
6,,2489,,0.961756051,,
,5.00E-05,2499,,,,
6,,2499,,1.264358044,,
,5.00E-05,2509,,,,
6,,2509,,0.833111048,,
,5.00E-05,2519,,,,
6,,2519,,0.832505643,,
6,,2526,,,0,0.106040567
6,,2526,1.017527699,,,
,5.00E-05,2529,,,,
7,,2529,,0.759488344,,
,5.00E-05,2539,,,,
7,,2539,,0.969628036,,
,5.00E-05,2549,,,,
7,,2549,,0.977597356,,
,5.00E-05,2559,,,,
7,,2559,,0.79771924,,
,5.00E-05,2569,,,,
7,,2569,,0.755907178,,
,5.00E-05,2579,,,,
7,,2579,,1.463599205,,
,5.00E-05,2589,,,,
7,,2589,,0.875510335,,
,5.00E-05,2599,,,,
7,,2599,,0.768746972,,
,5.00E-05,2609,,,,
